farmer_age,land_size_acres,annual_farm_income,loan_amount,crop_type,irrigation_type,existing_loans,credit_score
59,1.64,533879,201052,Maize,Borewell,0,510
49,2.01,576882,187894,Rice,Canal,0,558
35,3.51,384477,99601,Wheat,Canal,2,605
63,3.36,785427,495100,Maize,Canal,2,315
28,1.13,217796,196722,Rice,Canal,2,774
41,1.96,137384,137901,Rice,Borewell,1,766
59,8.63,257028,407979,Rice,Rainfed,0,430
39,6.1,412077,119408,Sugarcane,Borewell,2,831
43,3.75,469942,161838,Cotton,Borewell,1,722
31,5.5,345276,311150,Wheat,Rainfed,1,576
31,2.98,738916,206105,Maize,Canal,2,535
44,6.05,541012,389217,Sugarcane,Rainfed,0,344
56,1.21,658349,451630,Wheat,Borewell,0,413
60,9.08,236337,376976,Cotton,Canal,0,746
44,2.78,706473,368128,Maize,Borewell,1,430
23,8.28,876862,154078,Wheat,Rainfed,1,438
42,6.77,438021,290191,Cotton,Canal,0,640
22,5.47,351369,112726,Maize,Borewell,0,348
44,9.33,154526,463678,Rice,Borewell,0,849
64,1.99,794437,382088,Wheat,Borewell,0,759
50,1.63,430082,149452,Rice,Rainfed,1,627
58,3.56,305080,376995,Cotton,Rainfed,0,514
22,8.39,805099,339328,Cotton,Borewell,1,740
41,0.83,885878,283343,Maize,Rainfed,2,831
53,2.77,639768,262903,Wheat,Borewell,1,531
32,4.53,506387,339547,Wheat,Borewell,0,425
42,7.27,780194,463333,Sugarcane,Canal,2,360
64,3.34,296576,207192,Sugarcane,Borewell,1,521
45,4.76,789619,253724,Maize,Borewell,0,668
47,3.7,482748,299570,Wheat,Borewell,2,680
62,1.37,596109,497690,Wheat,Canal,1,488
48,7.52,441602,180293,Maize,Rainfed,1,719
36,4.88,458683,268105,Wheat,Borewell,2,732
35,8.22,811535,54599,Sugarcane,Rainfed,1,781
64,7.1,280205,455662,Wheat,Borewell,0,609
23,1.05,604930,437714,Rice,Canal,0,459
57,5.25,627616,456772,Wheat,Rainfed,0,541
27,9.91,734888,266362,Cotton,Rainfed,1,366
41,3.42,534475,330035,Cotton,Rainfed,1,603
29,5.18,226561,357222,Cotton,Rainfed,2,420
59,6.69,712170,470796,Rice,Rainfed,2,495
38,2.42,743469,94629,Wheat,Rainfed,2,329
24,7.17,411259,285790,Maize,Borewell,2,417
45,6.77,219650,247421,Sugarcane,Rainfed,0,573
34,4.06,881164,101961,Wheat,Canal,0,501
29,3.2,180446,306350,Maize,Canal,2,552
46,9.23,464008,360252,Wheat,Rainfed,1,625
